谢谢,清华,热水,楼长,食堂,自行车,电动车,报修,网络,疫情,领导,建议
4,28,47,38,64,169,1001,15,157,1001,162,27
4,21,29,11,16,101,1001,14,165,1001,188,34
7,28,25,20,4,81,1001,59,128,1001,263,24
10,13,24,25,2,111,1001,167,124,1001,233,23
10,11,13,29,3,58,1001,151,112,1001,175,23
12,17,19,23,8,91,1001,87,27,1001,190,24
18,17,7,36,9,57,640,220,68,1001,117,24
23,11,18,42,6,62,287,265,2,1001,203,27
23,19,21,41,3,78,313,202,20,1001,210,28
29,20,2,67,6,70,125,173,5,1001,264,44
35,28,34,78,4,57,93,226,2,1001,212,32
21,24,38,91,3,50,86,448,15,1001,114,52
27,26,44,56,2,54,18,778,88,1001,98,21
22,31,15,41,4,82,11,282,178,1001,79,27
18,44,16,48,3,53,95,247,54,1001,262,30
32,51,39,65,2,56,76,585,278,1001,349,17
34,42,69,51,4,84,387,432,398,25,254,20
26,61,53,99,1,153,78,377,408,69,293,17
33,88,102,76,1,137,409,317,401,26,338,12
